<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Sirjan.Jahan.Steel,20220601,3399.00,3401.00,3397.00,3397.00,28309519035,8330487,1837,D,3397.00,3399.00
Sirjan.Jahan.Steel,20220531,3410.00,3415.00,3396.00,3397.00,24492889913,7207899,1900,D,3396.00,3399.00
Sirjan.Jahan.Steel,20220530,3350.00,3420.00,3282.00,3396.00,38261036897,11269739,2579,D,3396.00,3405.00
Sirjan.Jahan.Steel,20220529,3380.00,3422.00,3272.00,3396.00,24526040582,7362878,2252,D,3422.00,3351.00
Sirjan.Jahan.Steel,20220528,3390.00,3435.00,3372.00,3422.00,34682022363,10193574,2324,D,3435.00,3389.00
Sirjan.Jahan.Steel,20220525,3390.00,3460.00,3390.00,3435.00,37763231402,11079280,3092,D,3454.00,3398.00
Sirjan.Jahan.Steel,20220524,3420.00,3473.00,3350.00,3454.00,23073859686,6792264,2310,D,3474.00,3385.00
Sirjan.Jahan.Steel,20220523,3528.00,3528.00,3341.00,3474.00,40127120727,11793409,2546,D,3534.00,3379.00
Sirjan.Jahan.Steel,20220522,3529.00,3547.00,3456.00,3534.00,35115317953,10014222,2625,D,3552.00,3528.00
Sirjan.Jahan.Steel,20220521,3510.00,3550.00,3470.00,3552.00,32882411643,9403887,2822,D,3583.00,3480.00
Sirjan.Jahan.Steel,20220518,3570.00,3590.00,3510.00,3583.00,35730354568,10133342,6947,D,3620.00,3549.00
Sirjan.Jahan.Steel,20220517,3691.00,3693.00,3571.00,3620.00,61383704492,16830728,5575,D,3570.00,3573.00
Sirjan.Jahan.Steel,20220516,3520.00,3675.00,3486.00,3570.00,115430310263,32331895,15245,D,3571.00,3663.00
Sirjan.Jahan.Steel,20220515,3560.00,3599.00,3480.00,3571.00,38610889448,10938212,4920,D,3601.00,3550.00
Sirjan.Jahan.Steel,20220514,3610.00,3695.00,3550.00,3601.00,55488724577,15432979,4683,D,3609.00,3559.00
Sirjan.Jahan.Steel,20220511,3541.00,3774.00,3541.00,3609.00,54145939982,14977782,4923,D,3601.00,3625.00
Sirjan.Jahan.Steel,20220510,3531.00,3598.00,3501.00,3601.00,30622465448,8651804,3666,D,3631.00,3545.00
Sirjan.Jahan.Steel,20220509,3660.00,3670.00,3532.00,3631.00,32146420437,8986073,4149,D,3659.00,3579.00
Sirjan.Jahan.Steel,20220508,3650.00,3717.00,3580.00,3659.00,50784145021,13865967,5076,D,3656.00,3648.00
Sirjan.Jahan.Steel,20220507,3678.00,3698.00,3582.00,3656.00,61315880660,16912062,6314,D,3713.00,3613.00
Sirjan.Jahan.Steel,20220502,3780.00,3780.00,3661.00,3713.00,53088387041,14426725,5400,D,3755.00,3698.00
Sirjan.Jahan.Steel,20220501,3840.00,3840.00,3710.00,3755.00,17540180433,4687553,1586,D,3758.00,3713.00
Sirjan.Jahan.Steel,20220426,3799.00,3848.00,3726.00,3758.00,49568911397,13186663,6266,D,3756.00,3753.00
Sirjan.Jahan.Steel,20220425,3800.00,3880.00,3702.00,3756.00,41536675362,11068640,4759,D,3759.00,3726.00
Sirjan.Jahan.Steel,20220424,3922.00,3922.00,3701.00,3759.00,50218819392,13158710,3711,D,3700.00,3824.00
Sirjan.Jahan.Steel,20220404,5780.00,5890.00,5510.00,5630.00,63431213070,11300257,4793,D,5670.00,5530.00
Sirjan.Jahan.Steel,20220403,5510.00,5760.00,5500.00,5670.00,75521542170,13238730,5136,D,5490.00,5760.00
Sirjan.Jahan.Steel,20220330,5440.00,5530.00,5440.00,5490.00,34344901490,6242492,2435,D,5490.00,5500.00
Sirjan.Jahan.Steel,20220329,5500.00,5540.00,5440.00,5490.00,58553521660,10645194,2891,D,5480.00,5510.00
Sirjan.Jahan.Steel,20220328,0.00,0.00,0.00,5480.00,64793349810,11783687,2146,D,5480.00,5500.00
Sirjan.Jahan.Steel,20220327,5400.00,5550.00,5380.00,5480.00,64793349810,11783687,2146,D,5420.00,5500.00
Sirjan.Jahan.Steel,20220326,5490.00,5560.00,5310.00,5420.00,35897685010,6576885,2185,D,5400.00,5500.00
Sirjan.Jahan.Steel,20220319,5520.00,5530.00,5490.00,5400.00,22443648620,4077292,1980,D,5360.00,5500.00
Sirjan.Jahan.Steel,20220316,5260.00,5510.00,5260.00,5360.00,48107733940,8830260,2762,D,5260.00,5500.00
Sirjan.Jahan.Steel,20220315,5320.00,5400.00,5240.00,5260.00,28141828730,5306949,1861,D,5240.00,5350.00
Sirjan.Jahan.Steel,20220314,5220.00,5350.00,5220.00,5240.00,33786743850,6424147,2046,D,5220.00,5350.00
Sirjan.Jahan.Steel,20220313,5200.00,5270.00,5130.00,5220.00,34720192190,6640024,2071,D,5210.00,5250.00
Sirjan.Jahan.Steel,20220312,5200.00,5250.00,5160.00,5210.00,47505929760,9127176,2475,D,5220.00,5210.00
Sirjan.Jahan.Steel,20220309,5200.00,5250.00,5180.00,5220.00,39764993630,7636067,2842,D,5240.00,5220.00
Sirjan.Jahan.Steel,20220308,5230.00,5280.00,5100.00,5240.00,32890799960,6317677,2106,D,5270.00,5250.00
Sirjan.Jahan.Steel,20220307,5280.00,5400.00,5270.00,5270.00,24941172640,4713432,2807,D,5260.00,5280.00
Sirjan.Jahan.Steel,20220306,5240.00,5400.00,5200.00,5260.00,72788648950,13824065,5719,D,5240.00,5400.00
Sirjan.Jahan.Steel,20220305,5190.00,5310.00,5100.00,5240.00,62874459560,11950215,3576,D,5190.00,5300.00
Sirjan.Jahan.Steel,20220302,5190.00,5200.00,5140.00,5190.00,35832892110,6915464,2087,D,5190.00,5170.00
Sirjan.Jahan.Steel,20220228,5200.00,5200.00,5120.00,5190.00,33474255430,6467448,2207,D,5200.00,5180.00
Sirjan.Jahan.Steel,20220227,5200.00,5230.00,5100.00,5200.00,34663512740,6719473,2470,D,5230.00,5200.00
Sirjan.Jahan.Steel,20220226,5240.00,5250.00,5150.00,5230.00,27556191240,5294743,2458,D,5240.00,5200.00
Sirjan.Jahan.Steel,20220223,5240.00,5250.00,5230.00,5240.00,40071722830,7646141,2011,D,5240.00,5240.00
Sirjan.Jahan.Steel,20220222,5240.00,5250.00,5200.00,5240.00,40452043600,7723407,2093,D,5240.00,5250.00
Sirjan.Jahan.Steel,20220221,5240.00,5290.00,5180.00,5240.00,31588399750,6043581,2481,D,5240.00,5230.00
Sirjan.Jahan.Steel,20220220,5240.00,5250.00,5170.00,5240.00,61555388960,11749132,2426,D,5240.00,5240.00
Sirjan.Jahan.Steel,20220219,5240.00,5250.00,5230.00,5240.00,59897066850,11429528,2908,D,5240.00,5240.00
Sirjan.Jahan.Steel,20220216,5240.00,5250.00,5220.00,5240.00,51037242920,9740686,3097,D,5240.00,5240.00
Sirjan.Jahan.Steel,20220214,5240.00,5300.00,5240.00,5240.00,32754065870,6237380,2136,D,5240.00,5260.00
Sirjan.Jahan.Steel,20220213,5250.00,5260.00,5190.00,5240.00,39505811350,7558775,2227,D,5250.00,5240.00
Sirjan.Jahan.Steel,20220212,5260.00,5340.00,5210.00,5250.00,82107987440,15637682,2597,D,5250.00,5250.00
Sirjan.Jahan.Steel,20220209,5210.00,5370.00,5160.00,5250.00,89874581400,17103363,9344,D,5290.00,5350.00
Sirjan.Jahan.Steel,20220208,5260.00,5330.00,5200.00,5290.00,28601501730,5452713,3421,D,5320.00,5250.00
Sirjan.Jahan.Steel,20220207,5310.00,5320.00,5230.00,5320.00,40306728590,7651162,2989,D,5370.00,5320.00
Sirjan.Jahan.Steel,20220206,5430.00,5440.00,5250.00,5370.00,70304042000,13111215,3290,D,5430.00,5310.00
Sirjan.Jahan.Steel,20220205,5420.00,5440.00,5410.00,5430.00,54182791940,9981213,3134,D,5420.00,5430.00
Sirjan.Jahan.Steel,20220202,5400.00,5470.00,5400.00,5420.00,50081261930,9223526,3181,D,5400.00,5450.00
Sirjan.Jahan.Steel,20220201,5400.00,5420.00,5400.00,5400.00,56381223650,10433420,3398,D,5400.00,5400.00
Sirjan.Jahan.Steel,20220131,5410.00,5420.00,5310.00,5400.00,74169078090,13730661,2672,D,5400.00,5400.00
Sirjan.Jahan.Steel,20220130,5470.00,5470.00,5340.00,5400.00,117373349800,21750617,3426,D,5400.00,5400.00
Sirjan.Jahan.Steel,20220129,5450.00,5520.00,5360.00,5400.00,53311633950,9825109,3041,D,5360.00,5440.00
Sirjan.Jahan.Steel,20220126,5300.00,5510.00,5210.00,5360.00,57617184680,10681468,2254,D,5300.00,5500.00
Sirjan.Jahan.Steel,20220125,5250.00,5340.00,5170.00,5300.00,117157596940,22125460,3054,D,5440.00,5300.00
Sirjan.Jahan.Steel,20220124,5500.00,5510.00,5280.00,5440.00,77146499580,14190540,3100,D,5500.00,5300.00
Sirjan.Jahan.Steel,20220123,5500.00,5510.00,5490.00,5500.00,124718635740,22675658,2800,D,5500.00,5510.00
Sirjan.Jahan.Steel,20220122,5500.00,5520.00,5500.00,5500.00,96659036840,17572491,3132,D,5500.00,5500.00
Sirjan.Jahan.Steel,20220119,5420.00,5510.00,5420.00,5500.00,83521652240,15187897,2615,D,5500.00,5500.00
Sirjan.Jahan.Steel,20220118,5500.00,5510.00,5500.00,5500.00,103482402700,18813786,3008,D,5500.00,5500.00
Sirjan.Jahan.Steel,20220117,5500.00,5530.00,5500.00,5500.00,56327446210,10239384,2722,D,5500.00,5500.00
Sirjan.Jahan.Steel,20220116,5420.00,5510.00,5420.00,5500.00,80818973040,14699776,3221,D,5500.00,5500.00
Sirjan.Jahan.Steel,20220115,5500.00,5510.00,5490.00,5500.00,83401935430,15163934,3458,D,5500.00,5500.00
Sirjan.Jahan.Steel,20220112,5500.00,5510.00,5490.00,5500.00,55392997610,10070448,2793,D,5500.00,5500.00
