<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Sepid.Farab.Kavir,20220813,3886.00,3960.00,3871.00,3876.00,12393916450,3169787,334,D,3860.00,3900.00
Sepid.Farab.Kavir,20220810,3910.00,3940.00,3802.00,3860.00,7908748563,2039880,240,D,3855.00,3886.00
Sepid.Farab.Kavir,20220809,3886.00,3911.00,3869.00,3855.00,8751316992,2247394,260,D,3843.00,3870.00
Sepid.Farab.Kavir,20220806,3956.00,3980.00,3860.00,3843.00,10436458294,2665271,286,D,3816.00,3890.00
Sepid.Farab.Kavir,20220803,3850.00,3930.00,3800.00,3816.00,8229811977,2111205,279,D,3794.00,3893.00
Sepid.Farab.Kavir,20220802,3796.00,3875.00,3689.00,3794.00,12945333341,3415671,312,D,3796.00,3816.00
Sepid.Farab.Kavir,20220801,3778.00,3880.00,3751.00,3796.00,13833642773,3617547,385,D,3780.00,3770.00
Sepid.Farab.Kavir,20220731,3820.00,3850.00,3778.00,3780.00,62050440809,16417357,594,D,3976.00,3778.00
Sepid.Farab.Kavir,20220730,4160.00,4160.00,3952.00,3976.00,53415391685,13432830,768,D,4160.00,3952.00
Sepid.Farab.Kavir,20220727,4210.00,4287.00,4040.00,4160.00,23257254067,5675715,585,D,4242.00,4080.00
Sepid.Farab.Kavir,20220726,4230.00,4380.00,4210.00,4242.00,48041592553,11326540,669,D,4431.00,4210.00
Sepid.Farab.Kavir,20220725,4453.00,4453.00,4350.00,4431.00,28118370557,6460145,230,D,4578.00,4350.00
Sepid.Farab.Kavir,20220724,4527.00,4527.00,4527.00,4578.00,1810800000,400000,17,D,4580.00,4527.00
Sepid.Farab.Kavir,20220717,4705.00,4725.00,4630.00,4665.00,56978351944,12214615,585,D,4688.00,4666.00
Sepid.Farab.Kavir,20220716,4765.00,4765.00,4650.00,4688.00,51770724460,11043404,631,D,4688.00,4683.00
Sepid.Farab.Kavir,20220713,4728.00,4760.00,4655.00,4688.00,29554079010,6263844,468,D,4637.00,4730.00
Sepid.Farab.Kavir,20220712,4700.00,4728.00,4540.00,4637.00,41008604276,8846665,560,D,4647.00,4728.00
Sepid.Farab.Kavir,20220711,4690.00,4698.00,4620.00,4647.00,34632545838,7446378,632,D,4634.00,4634.00
Sepid.Farab.Kavir,20220709,4668.00,4700.00,4522.00,4634.00,39290085690,8517821,623,D,4759.00,4645.00
Sepid.Farab.Kavir,20220706,4863.00,4960.00,4631.00,4759.00,57465191809,12074194,750,D,4863.00,4640.00
Sepid.Farab.Kavir,20220705,5003.00,5003.00,4825.00,4863.00,55936792866,11501905,1026,D,5078.00,4830.00
Sepid.Farab.Kavir,20220704,5149.00,5156.00,5000.00,5078.00,109898459584,21640694,758,D,5006.00,5009.00
Sepid.Farab.Kavir,20220703,5005.00,5070.00,5005.00,5006.00,9237064970,1840511,71,D,5003.00,5019.00
